F1 Score,Lost,Empty,Inconclusive,Won
0.4253882060752777,-1.0,-0.2,-0.2,-0.2
0.4593273543826818,-1.0,-0.2,-0.2,-0.1
0.5063229308112694,-1.0,-0.2,-0.2,0.0
0.5499302152099891,-1.0,-0.2,-0.2,0.10000000000000003
0.5645017918402341,-1.0,-0.2,-0.2,0.2
0.5825468737162187,-1.0,-0.2,-0.2,0.3
0.5935570224952035,-1.0,-0.2,-0.2,0.4000000000000001
0.5946540505120839,-1.0,-0.2,-0.2,0.5
0.597816822026298,-1.0,-0.2,-0.2,0.6000000000000001
0.6003265987448241,-1.0,-0.2,-0.2,0.7
0.6024509526431576,-1.0,-0.2,-0.2,0.8
0.6050533796269324,-1.0,-0.2,-0.2,0.9000000000000001
0.6081340291360917,-1.0,-0.2,-0.2,1.0000000000000002
0.4253254112534172,-1.0,-0.2,-0.1,-0.2
0.4543149092930241,-1.0,-0.2,-0.1,-0.1
0.5094953610556596,-1.0,-0.2,-0.1,0.0
0.563029992035565,-1.0,-0.2,-0.1,0.10000000000000003
0.57481125557841,-1.0,-0.2,-0.1,0.2
0.5871460289551276,-1.0,-0.2,-0.1,0.3
0.59716543918907,-1.0,-0.2,-0.1,0.4000000000000001
0.5991575101890855,-1.0,-0.2,-0.1,0.5
0.6019183500197169,-1.0,-0.2,-0.1,0.6000000000000001
0.603548366662394,-1.0,-0.2,-0.1,0.7
0.6050389854111127,-1.0,-0.2,-0.1,0.8
0.6076940700094201,-1.0,-0.2,-0.1,0.9000000000000001
0.6104067992218801,-1.0,-0.2,-0.1,1.0000000000000002
0.4310443012625316,-1.0,-0.2,0.0,-0.2
0.4586833014371934,-1.0,-0.2,0.0,-0.1
0.5089734048014902,-1.0,-0.2,0.0,0.0
0.5727493821086025,-1.0,-0.2,0.0,0.10000000000000003
0.5853809813353745,-1.0,-0.2,0.0,0.2
0.6021123956633991,-1.0,-0.2,0.0,0.3
0.6074873689731101,-1.0,-0.2,0.0,0.4000000000000001
0.608953813925827,-1.0,-0.2,0.0,0.5
0.6117343850746986,-1.0,-0.2,0.0,0.6000000000000001
0.6127115546489599,-1.0,-0.2,0.0,0.7
0.6142657652768395,-1.0,-0.2,0.0,0.8
0.6154107766239338,-1.0,-0.2,0.0,0.9000000000000001
0.622901567245344,-1.0,-0.2,0.0,1.0000000000000002
0.4548278696733862,-1.0,-0.2,0.10000000000000003,-0.2
0.4864568497085024,-1.0,-0.2,0.10000000000000003,-0.1
0.5332292343285592,-1.0,-0.2,0.10000000000000003,0.0
0.5865780030836134,-1.0,-0.2,0.10000000000000003,0.10000000000000003
0.6051773045178006,-1.0,-0.2,0.10000000000000003,0.2
0.6174498097291933,-1.0,-0.2,0.10000000000000003,0.3
0.6256767346502359,-1.0,-0.2,0.10000000000000003,0.4000000000000001
0.627557891248923,-1.0,-0.2,0.10000000000000003,0.5
0.6306744117872575,-1.0,-0.2,0.10000000000000003,0.6000000000000001
0.6322688154765459,-1.0,-0.2,0.10000000000000003,0.7
0.6354393566770205,-1.0,-0.2,0.10000000000000003,0.8
0.6374518532816494,-1.0,-0.2,0.10000000000000003,0.9000000000000001
0.6403794615176388,-1.0,-0.2,0.10000000000000003,1.0000000000000002
0.45851886275141557,-1.0,-0.2,0.2,-0.2
0.49000936790376104,-1.0,-0.2,0.2,-0.1
0.53024927340383,-1.0,-0.2,0.2,0.0
0.5846957387950701,-1.0,-0.2,0.2,0.10000000000000003
0.6015417770074678,-1.0,-0.2,0.2,0.2
0.6198338055453415,-1.0,-0.2,0.2,0.3
0.6296418559016652,-1.0,-0.2,0.2,0.4000000000000001
0.630626904889061,-1.0,-0.2,0.2,0.5
0.6357076742050054,-1.0,-0.2,0.2,0.6000000000000001
0.6372684759716384,-1.0,-0.2,0.2,0.7
0.6396097888686021,-1.0,-0.2,0.2,0.8
0.6408128582633811,-1.0,-0.2,0.2,0.9000000000000001
0.643475856360507,-1.0,-0.2,0.2,1.0000000000000002
0.47031938363839493,-1.0,-0.2,0.3,-0.2
0.49606784591292347,-1.0,-0.2,0.3,-0.1
0.537319724914451,-1.0,-0.2,0.3,0.0
0.58424128643713,-1.0,-0.2,0.3,0.10000000000000003
0.6052407710292815,-1.0,-0.2,0.3,0.2
0.6225547792505591,-1.0,-0.2,0.3,0.3
0.6343613035365698,-1.0,-0.2,0.3,0.4000000000000001
0.6373516888969963,-1.0,-0.2,0.3,0.5
0.642650400698136,-1.0,-0.2,0.3,0.6000000000000001
0.6449055974263385,-1.0,-0.2,0.3,0.7
0.6469480780988752,-1.0,-0.2,0.3,0.8
0.6486838453553728,-1.0,-0.2,0.3,0.9000000000000001
0.6507137265657618,-1.0,-0.2,0.3,1.0000000000000002
0.4717809925754529,-1.0,-0.2,0.4000000000000001,-0.2
0.4983882101744176,-1.0,-0.2,0.4000000000000001,-0.1
0.5351898903468407,-1.0,-0.2,0.4000000000000001,0.0
0.5765820818334644,-1.0,-0.2,0.4000000000000001,0.10000000000000003
0.5950340120998383,-1.0,-0.2,0.4000000000000001,0.2
0.6177690034380116,-1.0,-0.2,0.4000000000000001,0.3
0.6285887033801645,-1.0,-0.2,0.4000000000000001,0.4000000000000001
0.6364474976430043,-1.0,-0.2,0.4000000000000001,0.5
0.6413941773513459,-1.0,-0.2,0.4000000000000001,0.6000000000000001
0.6445844487073469,-1.0,-0.2,0.4000000000000001,0.7
0.6468599895563578,-1.0,-0.2,0.4000000000000001,0.8
0.6492681671723242,-1.0,-0.2,0.4000000000000001,0.9000000000000001
0.651587442347761,-1.0,-0.2,0.4000000000000001,1.0000000000000002
0.47099226062394806,-1.0,-0.2,0.5,-0.2
0.49568755097851225,-1.0,-0.2,0.5,-0.1
0.5339352100662376,-1.0,-0.2,0.5,0.0
0.5753644305076391,-1.0,-0.2,0.5,0.10000000000000003
0.5939058623096868,-1.0,-0.2,0.5,0.2
0.6127705703248318,-1.0,-0.2,0.5,0.3
0.6242822366058511,-1.0,-0.2,0.5,0.4000000000000001
0.6289851828410374,-1.0,-0.2,0.5,0.5
0.6382532271546356,-1.0,-0.2,0.5,0.6000000000000001
0.6416565267652891,-1.0,-0.2,0.5,0.7
0.6455999319937797,-1.0,-0.2,0.5,0.8
0.6478187713994473,-1.0,-0.2,0.5,0.9000000000000001
0.6509072716381268,-1.0,-0.2,0.5,1.0000000000000002
0.46842134641143296,-1.0,-0.2,0.6000000000000001,-0.2
0.493772868672722,-1.0,-0.2,0.6000000000000001,-0.1
0.5321400727593093,-1.0,-0.2,0.6000000000000001,0.0
0.570668484681923,-1.0,-0.2,0.6000000000000001,0.10000000000000003
0.586923937340453,-1.0,-0.2,0.6000000000000001,0.2
0.6047661635066177,-1.0,-0.2,0.6000000000000001,0.3
0.6195412954491097,-1.0,-0.2,0.6000000000000001,0.4000000000000001
0.6248900775276073,-1.0,-0.2,0.6000000000000001,0.5
0.6305720501214633,-1.0,-0.2,0.6000000000000001,0.6000000000000001
0.6370549410021382,-1.0,-0.2,0.6000000000000001,0.7
0.6411219593482771,-1.0,-0.2,0.6000000000000001,0.8
0.6458054765087007,-1.0,-0.2,0.6000000000000001,0.9000000000000001
0.6489258757376823,-1.0,-0.2,0.6000000000000001,1.0000000000000002
0.4687583336552562,-1.0,-0.2,0.7,-0.2
0.49195223080490463,-1.0,-0.2,0.7,-0.1
