F1 Score,Lost,Empty,Inconclusive,Won
0.43730703957043515,-1.0,-0.2,-0.2,-0.2
0.46958856442842667,-1.0,-0.2,-0.2,-0.1
0.5205885506812011,-1.0,-0.2,-0.2,0.0
0.5604566143921645,-1.0,-0.2,-0.2,0.10000000000000003
0.5773386693493698,-1.0,-0.2,-0.2,0.2
0.593522995075588,-1.0,-0.2,-0.2,0.3
0.6044863435403058,-1.0,-0.2,-0.2,0.4000000000000001
0.6056987979066017,-1.0,-0.2,-0.2,0.5
0.6090302239242228,-1.0,-0.2,-0.2,0.6000000000000001
0.6113182127387478,-1.0,-0.2,-0.2,0.7
0.6135895700341263,-1.0,-0.2,-0.2,0.8
0.6159894255743559,-1.0,-0.2,-0.2,0.9000000000000001
0.6191353501120935,-1.0,-0.2,-0.2,1.0000000000000002
0.43565712927340905,-1.0,-0.2,-0.1,-0.2
0.4645247250824859,-1.0,-0.2,-0.1,-0.1
0.5222647648467454,-1.0,-0.2,-0.1,0.0
0.572669015697848,-1.0,-0.2,-0.1,0.10000000000000003
0.5862007899838849,-1.0,-0.2,-0.1,0.2
0.5972467961830994,-1.0,-0.2,-0.1,0.3
0.607164509406439,-1.0,-0.2,-0.1,0.4000000000000001
0.6093309122993169,-1.0,-0.2,-0.1,0.5
0.6120080885458644,-1.0,-0.2,-0.1,0.6000000000000001
0.6136279612386644,-1.0,-0.2,-0.1,0.7
0.6151366607286729,-1.0,-0.2,-0.1,0.8
0.6176343228364967,-1.0,-0.2,-0.1,0.9000000000000001
0.6204652608241273,-1.0,-0.2,-0.1,1.0000000000000002
0.44561420821512476,-1.0,-0.2,0.0,-0.2
0.47187380426728454,-1.0,-0.2,0.0,-0.1
0.5279697861104781,-1.0,-0.2,0.0,0.0
0.58571096179793,-1.0,-0.2,0.0,0.10000000000000003
0.6005552170658419,-1.0,-0.2,0.0,0.2
0.615609172947606,-1.0,-0.2,0.0,0.3
0.6209390026492798,-1.0,-0.2,0.0,0.4000000000000001
0.6226518354243874,-1.0,-0.2,0.0,0.5
0.6252467095482923,-1.0,-0.2,0.0,0.6000000000000001
0.6262727245483282,-1.0,-0.2,0.0,0.7
0.6281031566424591,-1.0,-0.2,0.0,0.8
0.629002807735504,-1.0,-0.2,0.0,0.9000000000000001
0.6365551846134478,-1.0,-0.2,0.0,1.0000000000000002
0.4644813709397708,-1.0,-0.2,0.10000000000000003,-0.2
0.49534856967441143,-1.0,-0.2,0.10000000000000003,-0.1
0.5455024927632657,-1.0,-0.2,0.10000000000000003,0.0
0.5960382796061127,-1.0,-0.2,0.10000000000000003,0.10000000000000003
0.6153794206376113,-1.0,-0.2,0.10000000000000003,0.2
0.6266948198768669,-1.0,-0.2,0.10000000000000003,0.3
0.6348744078875056,-1.0,-0.2,0.10000000000000003,0.4000000000000001
0.6367581226908925,-1.0,-0.2,0.10000000000000003,0.5
0.6398814806174999,-1.0,-0.2,0.10000000000000003,0.6000000000000001
0.6416045216254926,-1.0,-0.2,0.10000000000000003,0.7
0.6448074888636012,-1.0,-0.2,0.10000000000000003,0.8
0.6467365028942944,-1.0,-0.2,0.10000000000000003,0.9000000000000001
0.6496521867169913,-1.0,-0.2,0.10000000000000003,1.0000000000000002
0.47028418725885346,-1.0,-0.2,0.2,-0.2
0.5001260137535102,-1.0,-0.2,0.2,-0.1
0.5446495882449738,-1.0,-0.2,0.2,0.0
0.594491271037324,-1.0,-0.2,0.2,0.10000000000000003
0.6140065560361012,-1.0,-0.2,0.2,0.2
0.6301313241926136,-1.0,-0.2,0.2,0.3
0.6399602508268494,-1.0,-0.2,0.2,0.4000000000000001
0.6410379885842088,-1.0,-0.2,0.2,0.5
0.6462830287318577,-1.0,-0.2,0.2,0.6000000000000001
0.6476882921722087,-1.0,-0.2,0.2,0.7
0.6502591485748019,-1.0,-0.2,0.2,0.8
