dataset,White_Positive_ds
boardsize,6
num_boards,106111
Board#,NumPieces,MatchPlayer,MatchType,MatchBaseName,MatchVarName,MatchX,MatchY
196,5,0,MatchType.EMPTY,bridge,rot60,2,3
197,6,0,MatchType.EMPTY,bridge,rot60,2,3
198,6,0,MatchType.EMPTY,bridge,rot60,2,3
199,7,0,MatchType.EMPTY,bridge,,4,4
199,7,0,MatchType.EMPTY,bridge,rot60,2,3
203,5,0,MatchType.EMPTY,bridge,,4,4
204,4,0,MatchType.EMPTY,bridge,rot60,2,3
205,5,0,MatchType.EMPTY,bridge,rot60,2,3
206,5,0,MatchType.EMPTY,bridge,rot60,2,3
207,6,0,MatchType.EMPTY,bridge,,4,4
207,6,0,MatchType.EMPTY,bridge,rot60,2,3
211,6,0,MatchType.EMPTY,bridge,,4,4
212,5,0,MatchType.EMPTY,bridge,rot60,2,3
213,6,0,MatchType.EMPTY,bridge,rot60,2,3
214,6,0,MatchType.EMPTY,bridge,rot60,2,3
215,7,0,MatchType.EMPTY,bridge,,4,4
215,7,0,MatchType.EMPTY,bridge,rot60,2,3
219,6,0,MatchType.EMPTY,bridge,,4,4
220,5,0,MatchType.EMPTY,bridge,rot60,2,3
221,6,0,MatchType.EMPTY,bridge,rot60,2,3
222,6,0,MatchType.EMPTY,bridge,rot60,2,3
223,7,0,MatchType.EMPTY,bridge,,4,4
223,7,0,MatchType.EMPTY,bridge,rot60,2,3
227,7,0,MatchType.EMPTY,bridge,,4,4
228,6,0,MatchType.EMPTY,bridge,rot60,2,3
229,7,0,MatchType.EMPTY,bridge,rot60,2,3
230,7,0,MatchType.EMPTY,bridge,rot60,2,3
231,8,0,MatchType.EMPTY,bridge,,4,4
231,8,0,MatchType.EMPTY,bridge,rot60,2,3
235,5,0,MatchType.EMPTY,bridge,,4,4
236,4,0,MatchType.EMPTY,bridge,rot60,2,3
237,5,0,MatchType.EMPTY,bridge,rot60,2,3
238,5,0,MatchType.EMPTY,bridge,rot60,2,3
239,6,0,MatchType.EMPTY,bridge,,4,4
239,6,0,MatchType.EMPTY,bridge,rot60,2,3
243,6,0,MatchType.EMPTY,bridge,,4,4
244,5,0,MatchType.EMPTY,bridge,rot60,2,3
245,6,0,MatchType.EMPTY,bridge,rot60,2,3
246,6,0,MatchType.EMPTY,bridge,rot60,2,3
247,7,0,MatchType.EMPTY,bridge,,4,4
247,7,0,MatchType.EMPTY,bridge,rot60,2,3
251,6,0,MatchType.EMPTY,bridge,,4,4
252,5,0,MatchType.EMPTY,bridge,rot60,2,3
253,6,0,MatchType.EMPTY,bridge,rot60,2,3
254,6,0,MatchType.EMPTY,bridge,rot60,2,3
255,7,0,MatchType.EMPTY,bridge,,4,4
255,7,0,MatchType.EMPTY,bridge,rot60,2,3
259,7,0,MatchType.EMPTY,bridge,,4,4
260,6,0,MatchType.EMPTY,bridge,rot60,2,3
261,7,0,MatchType.EMPTY,bridge,rot60,2,3
262,7,0,MatchType.EMPTY,bridge,rot60,2,3
263,8,0,MatchType.EMPTY,bridge,,4,4
263,8,0,MatchType.EMPTY,bridge,rot60,2,3
267,6,0,MatchType.EMPTY,bridge,,4,4
268,5,0,MatchType.EMPTY,bridge,rot60,2,3
269,6,0,MatchType.EMPTY,bridge,rot60,2,3
270,6,0,MatchType.EMPTY,bridge,rot60,2,3
271,7,0,MatchType.EMPTY,bridge,,4,4
271,7,0,MatchType.EMPTY,bridge,rot60,2,3
275,7,0,MatchType.EMPTY,bridge,,4,4
276,6,0,MatchType.EMPTY,bridge,rot60,2,3
277,7,0,MatchType.EMPTY,bridge,rot60,2,3
278,7,0,MatchType.EMPTY,bridge,rot60,2,3
279,8,0,MatchType.EMPTY,bridge,,4,4
279,8,0,MatchType.EMPTY,bridge,rot60,2,3
283,7,0,MatchType.EMPTY,bridge,,4,4
284,6,0,MatchType.EMPTY,bridge,rot60,2,3
285,7,0,MatchType.EMPTY,bridge,rot60,2,3
286,7,0,MatchType.EMPTY,bridge,rot60,2,3
287,8,0,MatchType.EMPTY,bridge,,4,4
287,8,0,MatchType.EMPTY,bridge,rot60,2,3
291,8,0,MatchType.EMPTY,bridge,,4,4
292,7,0,MatchType.EMPTY,bridge,rot60,2,3
293,8,0,MatchType.EMPTY,bridge,rot60,2,3
294,8,0,MatchType.EMPTY,bridge,rot60,2,3
295,9,0,MatchType.EMPTY,bridge,,4,4
295,9,0,MatchType.EMPTY,bridge,rot60,2,3
296,4,0,MatchType.INCONCLUSIVE,bridge,rot120,1,3
297,5,0,MatchType.EMPTY,bridge,rot60,3,3
297,5,0,MatchType.INCONCLUSIVE,bridge,rot120,1,3
301,4,0,MatchType.EMPTY,bridge,,4,2
302,3,0,MatchType.EMPTY,bridge,rot120,0,2
303,4,0,MatchType.EMPTY,bridge,rot120,0,2
304,4,0,MatchType.EMPTY,bridge,rot120,0,2
305,5,0,MatchType.EMPTY,bridge,,4,2
305,5,0,MatchType.EMPTY,bridge,rot120,0,2
309,5,0,MatchType.EMPTY,bridge,,4,2
310,4,0,MatchType.EMPTY,bridge,rot120,0,2
311,5,0,MatchType.EMPTY,bridge,rot120,0,2
312,5,0,MatchType.EMPTY,bridge,rot120,0,2
313,6,0,MatchType.EMPTY,bridge,,4,2
313,6,0,MatchType.EMPTY,bridge,rot120,0,2
317,5,0,MatchType.EMPTY,bridge,,4,2
318,4,0,MatchType.EMPTY,bridge,rot120,0,2
319,5,0,MatchType.EMPTY,bridge,rot120,0,2
320,5,0,MatchType.EMPTY,bridge,rot120,0,2
321,6,0,MatchType.EMPTY,bridge,,4,2
321,6,0,MatchType.EMPTY,bridge,rot120,0,2
325,6,0,MatchType.EMPTY,bridge,,4,2
326,5,0,MatchType.EMPTY,bridge,rot120,0,2
327,6,0,MatchType.EMPTY,bridge,rot120,0,2
328,6,0,MatchType.EMPTY,bridge,rot120,0,2
329,7,0,MatchType.EMPTY,bridge,,4,2
329,7,0,MatchType.EMPTY,bridge,rot120,0,2
333,5,0,MatchType.EMPTY,bridge,,4,2
334,4,0,MatchType.INCONCLUSIVE,bridge,rot120,0,2
335,5,0,MatchType.INCONCLUSIVE,bridge,rot120,0,2
336,5,0,MatchType.INCONCLUSIVE,bridge,rot120,0,2
337,6,0,MatchType.EMPTY,bridge,,4,2
337,6,0,MatchType.INCONCLUSIVE,bridge,rot120,0,2
341,6,0,MatchType.EMPTY,bridge,,4,2
342,5,0,MatchType.INCONCLUSIVE,bridge,rot120,0,2
343,6,0,MatchType.INCONCLUSIVE,bridge,rot120,0,2
344,6,0,MatchType.INCONCLUSIVE,bridge,rot120,0,2
345,7,0,MatchType.EMPTY,bridge,,4,2
345,7,0,MatchType.INCONCLUSIVE,bridge,rot120,0,2
349,6,0,MatchType.EMPTY,bridge,,4,2
350,5,0,MatchType.INCONCLUSIVE,bridge,rot120,0,2
351,6,0,MatchType.INCONCLUSIVE,bridge,rot120,0,2
352,6,0,MatchType.INCONCLUSIVE,bridge,rot120,0,2
353,7,0,MatchType.EMPTY,bridge,,4,2
